index;filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
;id:000147,src:000000,op:flip1,pos:607,+cov;2019-10-29 13:44:34.657858;0.0;4117;2326;1
;id_3_9_003248;2019-10-30 08:34:21.449887;0 days 18:16:49.181484;4121;841;137
;id:001200,src:000000,op:arith8,pos:7201,val:-10;2019-10-29 13:44:34.657858;0.0;4129;937;43
;id:000839,src:000000,op:flip2,pos:6365;2019-10-29 13:44:34.657858;0.0;4129;2389;65
;id:000428,src:000000,op:flip1,pos:6241;2019-10-29 13:44:34.657858;0.0;4132;574;25
;id:000209,src:000000,op:flip1,pos:893,+cov;2019-10-29 13:44:34.657858;0.0;4132;2332;7
;id:000373,src:000000,op:flip1,pos:6148,+cov;2019-10-29 13:44:34.657858;0.0;4132;2329;4
;id_1_6_001665;2019-10-29 17:46:06.833930;0 days 03:28:34.565527;4132;1696;442
;id_0_6_000044_cov;2019-10-29 14:15:30.909512;0.0;4179;422;96
;id_0_7_000569;2019-10-29 14:31:35.916663;0 days 00:14:03.648260;4179;1844;172
;id:000900,src:000000,op:flip2,pos:7200;2019-10-29 13:44:34.657858;0.0;4180;2300;45
;id:000131,src:000000,op:flip1,pos:488,+cov;2019-10-29 13:44:34.657858;0.0;4180;2327;2
;id_0_4_000316;2019-10-29 14:20:23.698834;0 days 00:02:51.430431;4185;926;102
;id_3_10_002772;2019-10-30 04:01:33.961035;0 days 13:44:01.692632;4201;1916;254
;id:000270,src:000000,op:flip1,pos:1567;2019-10-29 13:44:34.657858;0.0;4201;2325;0
;id:000758,src:000000,op:flip1,pos:7280;2019-10-29 13:44:34.657858;0.0;4201;2229;23
;id_3_9_003273;2019-10-30 08:49:06.681480;0 days 18:31:34.413077;4209;621;204
;id:000182,src:000000,op:flip1,pos:772,+cov;2019-10-29 13:44:34.657858;0.0;4210;2316;1
;id_1_6_001370;2019-10-29 16:51:17.224893;0 days 02:33:44.956490;4212;2377;288
;id_0_2_000118;2019-10-29 14:16:06.233189;0.0;4212;2403;84
;id_0_7_000776;2019-10-29 14:47:52.507679;0 days 00:30:20.239276;4212;844;311
;id_3_3_002966;2019-10-30 06:39:46.418958;0 days 16:22:14.150555;4215;1879;216
;id_0_7_000846;2019-10-29 14:48:16.643457;0 days 00:30:44.375054;4223;2448;191
;id_3_0_003310;2019-10-30 09:49:22.095423;0 days 19:31:49.827020;4229;745;102
;id_3_10_002792;2019-10-30 04:26:03.075160;0 days 14:08:30.806757;4242;2360;206
;id_3_12_003222;2019-10-30 08:18:16.283012;0 days 18:00:44.014609;4247;1714;517
;id:001338,src:000000,op:havoc,rep:128;2019-10-29 13:44:34.657858;0.0;4249;505;93
;id_2_8_002139;2019-10-29 22:54:12.135502;0 days 08:36:39.867099;4249;731;229
;id_2_8_002082;2019-10-29 22:38:03.708586;0 days 08:20:31.440183;4282;2309;301
;id_1_1_001941;2019-10-29 19:55:27.416711;0 days 05:37:55.148308;4285;2350;71
;id:000616,src:000000,op:flip1,pos:6600;2019-10-29 13:44:34.657858;0.0;4291;1171;18
;id_1_001797;2019-10-29 18:23:56.352525;0 days 04:06:24.084122;4299;1336;276
;id:000472,src:000000,op:flip1,pos:6321,+cov;2019-10-29 13:44:34.657858;0.0;4301;1089;44
;id_1_9_001591;2019-10-29 17:28:02.128141;0 days 03:10:29.859738;4302;2212;190
;id_1_5_001778;2019-10-29 18:15:02.753566;0 days 03:57:30.485163;4304;2434;140
;id:001061,src:000000,op:arith8,pos:4734,val:+14;2019-10-29 13:44:34.657858;0.0;4304;938;43
;id_0_2_000100;2019-10-29 14:16:06.061191;0.0;4304;2392;71
;id_3_10_003291;2019-10-30 09:12:40.272118;0 days 18:55:08.003715;4312;1762;570
;id_3_2_003347;2019-10-30 10:14:58.428945;0 days 19:57:26.160542;4324;1699;509
;id:001157,src:000000,op:arith8,pos:6748,val:+17,+cov;2019-10-29 13:44:34.657858;0.0;4326;2353;30
;id:000223,src:000000,op:flip1,pos:944;2019-10-29 13:44:34.657858;0.0;4326;2324;1
;id:000998,src:000000,op:arith8,pos:16,val:+1,+cov;2019-10-29 13:44:34.657858;0.0;4333;1623;289
;id_3_6_002990;2019-10-30 06:52:56.955453;0 days 16:35:24.687050;4334;1798;172
;id_4_9_003395;2019-10-30 12:21:41.002445;0 days 22:04:08.734042;4347;1750;538
;id_2_12_002601;2019-10-30 00:46:54.699356;0 days 10:29:22.430953;4349;1696;513
;id_2_8_001950_cov;2019-10-29 20:05:58.954756;0 days 05:48:26.686353;4355;793;177
;id_0_2_000519;2019-10-29 14:28:14.006519;0 days 00:10:41.738116;4355;2399;80
;id:000420,src:000000,op:flip1,pos:6205;2019-10-29 13:44:34.657858;0.0;4355;2360;35
;id_2_10_002330;2019-10-29 23:21:45.311844;0 days 09:04:13.043441;4360;2311;236
;id_2_12_002599;2019-10-30 00:46:54.655357;0 days 10:29:22.386954;4363;1721;540
;id_2_10_001974;2019-10-29 20:59:42.676312;0 days 06:42:10.407909;4369;2301;267
;id_0_4_000608;2019-10-29 14:36:48.009793;0 days 00:19:15.741390;4370;2165;156
