,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
44,"id:000044,src:000000,op:flip1,pos:125",2019-10-30 14:10:56.560082432,1582,1377,208,0.0
45,"id:000045,src:000000,op:flip1,pos:132",2019-10-30 14:10:56.560082432,1582,1376,208,0.0
46,"id:000046,src:000000,op:flip1,pos:133",2019-10-30 14:10:56.540082432,1582,1373,208,0.0
47,"id:000047,src:000000,op:flip1,pos:133",2019-10-30 14:10:56.540082432,1582,1376,208,0.0
48,"id:000048,src:000000,op:flip1,pos:133",2019-10-30 14:10:56.552082432,1582,1376,208,0.0
49,"id:000049,src:000000,op:flip1,pos:137",2019-10-30 14:10:56.536082432,1582,1376,208,0.0
50,"id:000050,src:000000,op:flip1,pos:152",2019-10-30 14:10:56.552082432,1582,1375,208,0.0
51,"id:000051,src:000000,op:flip1,pos:156",2019-10-30 14:10:56.548082688,1582,1376,208,0.0
52,"id:000052,src:000000,op:flip1,pos:156",2019-10-30 14:10:56.556082432,1582,1376,208,0.0
53,"id:000053,src:000000,op:flip1,pos:360,+cov",2019-10-30 14:10:56.552082432,1583,1374,209,0.0
54,"id:000054,src:000000,op:flip1,pos:360,+cov",2019-10-30 14:10:56.548082688,1584,1374,210,0.0
